Code,Actual Group
ABJ,9
ACK,3
ADD,2
AGA,9
AGH,2
AMD,5
AMS,6
BET,4
BFN,5
BHB,4
BIG,11
BLI,6
BRC,10
BZL,5
CHQ,4
CMB,7
CNF,8
DAM,7
DOM,2
DXB,3
FAI,6
FKI,3
FKS,10
FMO,1
FRU,7
GES,2
GHB,8
GUM,4
HBE,1
HEL,1
IWJ,11
JFK,8
KIX,2
KOA,10
KRS,5
LAS,11
LAX,8
LOS,8
MPW,10
MTY,11
NRT,3
PEW,9
PHX,1
PUS,11
PXO,4
SAF,9
SAQ,6
SEA,1
SEZ,3
SGN,9
SHM,5
SJD,9
SVO,11
SVX,2
TEX,6
TFN,7
THF,6
TLV,7
TRF,8
TUS,7
VHM,5
VSG,10
XRY,10
YAA,3
YRT,4
ZSA,1
103,8
111,2
115,4
127,11
137,5
138,8
139,11
141,7
153,2
164,9
170,6
175,9
186,11
235,6
257,1
272,1
276,6
277,10
286,1
300,1
306,11
319,3
320,7
326,5
346,2
349,3
358,8
387,7
396,10
404,4
418,4
421,1
424,3
429,9
455,1
457,4
465,8
469,2
498,2
503,9
504,11
511,5
544,9
545,5
560,8
602,2
607,9
622,7
628,6
644,10
675,4
704,6
713,10
725,6
752,5
766,8
777,3
779,11
782,7
805,3
871,7
877,10
927,4
949,10
965,5
992,3
